app_label,model,field_name,field_type,related_model,null,blank
django_celery_results,GroupResult,date_done,DateTimeField,,False,True
django_celery_results,GroupResult,content_type,CharField,,False,False
django_celery_results,GroupResult,content_encoding,CharField,,False,False
django_celery_results,GroupResult,result,TextField,,True,False
django_celery_beat,SolarSchedule,periodictask,ForeignKey,django_celery_beat.PeriodicTask,True,
django_celery_beat,SolarSchedule,id,AutoField,,False,True
django_celery_beat,SolarSchedule,event,CharField,,False,False
django_celery_beat,SolarSchedule,latitude,DecimalField,,False,False
django_celery_beat,SolarSchedule,longitude,DecimalField,,False,False
django_celery_beat,IntervalSchedule,periodictask,ForeignKey,django_celery_beat.PeriodicTask,True,
django_celery_beat,IntervalSchedule,id,AutoField,,False,True
django_celery_beat,IntervalSchedule,every,IntegerField,,False,False
django_celery_beat,IntervalSchedule,period,CharField,,False,False
django_celery_beat,ClockedSchedule,periodictask,ForeignKey,django_celery_beat.PeriodicTask,True,
django_celery_beat,ClockedSchedule,id,AutoField,,False,True
django_celery_beat,ClockedSchedule,clocked_time,DateTimeField,,False,False
django_celery_beat,CrontabSchedule,periodictask,ForeignKey,django_celery_beat.PeriodicTask,True,
django_celery_beat,CrontabSchedule,id,AutoField,,False,True
django_celery_beat,CrontabSchedule,minute,CharField,,False,False
django_celery_beat,CrontabSchedule,hour,CharField,,False,False
django_celery_beat,CrontabSchedule,day_of_month,CharField,,False,False
django_celery_beat,CrontabSchedule,month_of_year,CharField,,False,False
django_celery_beat,CrontabSchedule,day_of_week,CharField,,False,False
django_celery_beat,CrontabSchedule,timezone,CharField,,False,False
django_celery_beat,PeriodicTasks,ident,SmallIntegerField,,False,False
django_celery_beat,PeriodicTasks,last_update,DateTimeField,,False,False
django_celery_beat,PeriodicTask,id,AutoField,,False,True
django_celery_beat,PeriodicTask,name,CharField,,False,False
django_celery_beat,PeriodicTask,task,CharField,,False,False
django_celery_beat,PeriodicTask,interval,ForeignKey,django_celery_beat.IntervalSchedule,True,True
django_celery_beat,PeriodicTask,crontab,ForeignKey,django_celery_beat.CrontabSchedule,True,True
django_celery_beat,PeriodicTask,solar,ForeignKey,django_celery_beat.SolarSchedule,True,True
django_celery_beat,PeriodicTask,clocked,ForeignKey,django_celery_beat.ClockedSchedule,True,True
django_celery_beat,PeriodicTask,args,TextField,,False,True
django_celery_beat,PeriodicTask,kwargs,TextField,,False,True
django_celery_beat,PeriodicTask,queue,CharField,,True,True
django_celery_beat,PeriodicTask,exchange,CharField,,True,True
django_celery_beat,PeriodicTask,routing_key,CharField,,True,True
django_celery_beat,PeriodicTask,headers,TextField,,False,True
django_celery_beat,PeriodicTask,priority,PositiveIntegerField,,True,True
django_celery_beat,PeriodicTask,expires,DateTimeField,,True,True
django_celery_beat,PeriodicTask,expire_seconds,PositiveIntegerField,,True,True
django_celery_beat,PeriodicTask,one_off,BooleanField,,False,False
django_celery_beat,PeriodicTask,start_time,DateTimeField,,True,True
django_celery_beat,PeriodicTask,enabled,BooleanField,,False,False
django_celery_beat,PeriodicTask,last_run_at,DateTimeField,,True,True
django_celery_beat,PeriodicTask,total_run_count,PositiveIntegerField,,False,False
django_celery_beat,PeriodicTask,date_changed,DateTimeField,,False,True
django_celery_beat,PeriodicTask,description,TextField,,False,True
core,DepartmentRole,id,BigAutoField,,False,True
core,DepartmentRole,name,CharField,,False,False
core,DepartmentRole,description,TextField,,True,True
core,DepartmentRole,is_active,BooleanField,,False,False
core,Role,rolerequest,ForeignKey,core.RoleRequest,True,
core,Role,permissionmatrix,ForeignKey,core.PermissionMatrix,True,
core,Role,temporaryaccessoverride,ForeignKey,core.TemporaryAccessOverride,True,
core,Role,id,BigAutoField,,False,True
core,Role,name,CharField,,False,False
core,Role,description,TextField,,True,True
